Clé,Country Code,Country Name,Region,Year,GDP (US$),Population (number),HDI,rank legatum index,score legatum,HAQ,Life expectancy,NumbeEasternr of Hospitals,Number of General hospitals,Number of Publicly owned hospitals,Number of Not-for-profit privately owned hospitals,Number of For-profit privately owned hospitals,Total hospital beds,Number of Beds in publicly owned hospitals,Number of Beds in not-for-profit privately owned hospitals,Number of Beds in for-profit privately owned hospitals,Number of Generalist medical practitioners,Number of Specialist medical practitioners,Number of Medical doctors not further defined,Number of Practising nurses,Remuneration of hospital nurses,Remuneration of specialists,Remuneration of general practitioners, Share of gross domestic product (in %) -  All financing schemes, Share of current expenditure on health (in %) -  Government/compulsory schemes, Share of gross domestic product (in %) -  Government/compulsory schemes, Share of current expenditure on health (in %) -  Household out-of-pocket payments, Share of gross domestic product (in %) -  Household out-of-pocket payments, Share of current expenditure on health (in %) - Voluntary health care payment schemes, Share of gross domestic product (in %) -   Voluntary health care payment schemes, Share of current expenditure on health (in %) -  Voluntary schemes/household out-of-pocket payments, Share of gross domestic product (in %) -  Voluntary schemes/household out-of-pocket payments,R&D expenses as PC_GDP (total GOV),R&D expenses as PC_GDP (total HES),R&D expenses as PC_GDP (total BES),R&D expenses as PC_GDP (total),Number schools,Total Fees per Year (USD) MIN,Total Fees per Year (USD) MAX
NGA2015,NGA,Nigeria,Sub-Saharan Africa,2015,4.87E+11,1.81E+08,0.516,148,41.56341321,51.3,53.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NGA2019,NGA,Nigeria,Sub-Saharan Africa,2019,4.48E+11,2.01E+08,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NGA2020,NGA,Nigeria,Sub-Saharan Africa,2020,4.32E+11,2.06E+08,0.535,144,42.9282929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIC2010,NIC,Nicaragua,Latin America and the Caribbean,2010,8.76E+09,5824058,0.614,102,50.92081094,61.8,72.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIC2015,NIC,Nicaragua,Latin America and the Caribbean,2015,1.28E+10,6223234,0.647,105,52.272837,64.3,73.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIC2019,NIC,Nicaragua,Latin America and the Caribbean,2019,1.26E+10,6545503,0.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIC2020,NIC,Nicaragua,Latin America and the Caribbean,2020,1.26E+10,6624554,0.654,113,51.04481574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLD2010,NLD,Netherlands,Western Europe,2010,8.47E+11,1.66E+07,0.917,6,80.78427245,88.2,80.797,427,102,0,183,244,68450,0,68450,0,20848,28394,0,0,63670,195014,117140,10.155,83.376,8.467,9.095,0.924,7.528,0.765,16.624,1.688,0.2,0.69,0.82,1.7,8,11805,26259
NLD2015,NLD,Netherlands,Western Europe,2015,7.66E+11,1.69E+07,0.932,7,81.41963988,89.5,81.715,517,81,0,143,374,59117,0,59117,0,26490,32654,0,178340,59119,167115,109343,10.324,81.38,8.402,11.286,1.165,7.332,0.757,18.618,1.922,0.13,0.64,1.38,2.15,8,11805,26259
NLD2019,NLD,Netherlands,Western Europe,2019,9.10E+11,1.73E+07,0.943,NA,NA,NA,NA,568,75,0,133,435,52398,0,52398,0,30107,35014,0,186801,63111,175207,124916,10.151,82.676,8.392,10.556,1.072,6.767,0.687,17.323,1.758,0.12,0.6,1.46,2.18,8,11805,26259
